,Bangladesh
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,3.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,0.0
3/14/20,0.0
3/15/20,2.0
3/16/20,3.0
3/17/20,2.0
3/18/20,4.0
3/19/20,3.0
3/20/20,3.0
3/21/20,5.0
3/22/20,2.0
3/23/20,6.0
3/24/20,6.0
3/25/20,0.0
3/26/20,5.0
3/27/20,4.0
3/28/20,0.0
3/29/20,0.0
3/30/20,1.0
3/31/20,2.0
4/1/20,3.0
4/2/20,2.0
4/3/20,5.0
4/4/20,9.0
4/5/20,18.0
4/6/20,35.0
4/7/20,41.0
4/8/20,54.0
4/9/20,112.0
4/10/20,94.0
4/11/20,58.0
4/12/20,139.0
4/13/20,182.0
4/14/20,209.0
4/15/20,219.0
4/16/20,341.0
4/17/20,266.0
4/18/20,306.0
4/19/20,312.0
4/20/20,492.0
4/21/20,434.0
4/22/20,390.0
4/23/20,414.0
4/24/20,503.0
4/25/20,309.0
4/26/20,418.0
4/27/20,497.0
4/28/20,549.0
4/29/20,641.0
4/30/20,564.0
5/1/20,571.0
5/2/20,552.0
5/3/20,665.0
5/4/20,688.0
5/5/20,786.0
5/6/20,790.0
5/7/20,706.0
5/8/20,709.0
5/9/20,636.0
5/10/20,887.0
5/11/20,1034.0
5/12/20,969.0
5/13/20,1162.0
5/14/20,1041.0
5/15/20,1202.0
5/16/20,930.0
5/17/20,1273.0
5/18/20,1602.0
5/19/20,1251.0
5/20/20,1617.0
5/21/20,1773.0
5/22/20,1694.0
5/23/20,1873.0
5/24/20,1532.0
5/25/20,1975.0
5/26/20,1166.0
5/27/20,1541.0
5/28/20,2029.0
5/29/20,2523.0
5/30/20,1764.0
5/31/20,2545.0
6/1/20,2381.0
6/2/20,2911.0
6/3/20,2695.0
6/4/20,2423.0
6/5/20,2828.0
6/6/20,2635.0
6/7/20,2743.0
6/8/20,2735.0
6/9/20,3171.0
6/10/20,3190.0
6/11/20,3187.0
6/12/20,3471.0
6/13/20,2856.0
6/14/20,3141.0
6/15/20,3099.0
6/16/20,3862.0
6/17/20,4008.0
6/18/20,3803.0
6/19/20,3243.0
6/20/20,3240.0
6/21/20,3531.0
6/22/20,3480.0
6/23/20,3412.0
6/24/20,3462.0
6/25/20,3946.0
6/26/20,3868.0
6/27/20,3504.0
6/28/20,3809.0
6/29/20,4014.0
6/30/20,3682.0
7/1/20,3775.0
7/2/20,4019.0
7/3/20,3114.0
7/4/20,3288.0
7/5/20,2738.0
7/6/20,3201.0
7/7/20,3027.0
7/8/20,3489.0
7/9/20,3360.0
7/10/20,2949.0
7/11/20,2686.0
7/12/20,2666.0
7/13/20,3099.0
7/14/20,3163.0
7/15/20,3533.0
7/16/20,2733.0
7/17/20,3034.0
7/18/20,2709.0
7/19/20,2459.0
7/20/20,2928.0
7/21/20,3057.0
7/22/20,2744.0
7/23/20,2856.0
7/24/20,2548.0
7/25/20,2520.0
7/26/20,2275.0
7/27/20,2772.0
7/28/20,2960.0
7/29/20,3009.0
7/30/20,2695.0
7/31/20,2772.0
8/1/20,2199.0
8/2/20,886.0
8/3/20,1356.0
8/4/20,1918.0
8/5/20,2654.0
8/6/20,2977.0
8/7/20,2851.0
8/8/20,2611.0
8/9/20,2487.0
8/10/20,2907.0
8/11/20,2996.0
8/12/20,2995.0
8/13/20,2617.0
8/14/20,2766.0
8/15/20,2644.0
8/16/20,2024.0
8/17/20,2595.0
8/18/20,3200.0
8/19/20,2747.0
8/20/20,2868.0
8/21/20,2401.0
8/22/20,2265.0
8/23/20,1973.0
8/24/20,2485.0
8/25/20,2545.0
8/26/20,2519.0
8/27/20,2436.0
8/28/20,2211.0
8/29/20,2131.0
8/30/20,1897.0
8/31/20,2174.0
9/1/20,1950.0
9/2/20,2582.0
9/3/20,2158.0
9/4/20,1929.0
9/5/20,1950.0
9/6/20,1592.0
9/7/20,2202.0
9/8/20,1892.0
9/9/20,1827.0
9/10/20,1892.0
9/11/20,1792.0
9/12/20,1282.0
9/13/20,1476.0
9/14/20,1812.0
9/15/20,1724.0
9/16/20,1615.0
9/17/20,1593.0
9/18/20,1541.0
9/19/20,1567.0
9/20/20,1546.0
9/21/20,1703.0
9/22/20,1557.0
9/23/20,1666.0
9/24/20,1540.0
9/25/20,1383.0
9/26/20,1106.0
9/27/20,1275.0
9/28/20,1407.0
9/29/20,1488.0
9/30/20,1436.0
10/1/20,1508.0
10/2/20,1396.0
10/3/20,1182.0
10/4/20,1125.0
10/5/20,1442.0
10/6/20,1499.0
10/7/20,1520.0
10/8/20,1441.0
10/9/20,1278.0
10/10/20,1203.0
10/11/20,1193.0
10/12/20,1472.0
10/13/20,1537.0
10/14/20,1684.0
10/15/20,1600.0
10/16/20,1527.0
10/17/20,1209.0
10/18/20,1274.0
10/19/20,1637.0
10/20/20,1380.0
10/21/20,1545.0
10/22/20,1696.0
10/23/20,1586.0
10/24/20,1094.0
10/25/20,1308.0
10/26/20,1436.0
10/27/20,1335.0
10/28/20,1493.0
10/29/20,1681.0
10/30/20,1604.0
10/31/20,1320.0
11/1/20,1568.0
11/2/20,1736.0
11/3/20,1659.0
11/4/20,1517.0
11/5/20,1842.0
11/6/20,1469.0
11/7/20,1289.0
11/8/20,1474.0
11/9/20,1683.0
11/10/20,1699.0
11/11/20,1733.0
11/12/20,1845.0
11/13/20,1767.0
11/14/20,1531.0
11/15/20,1837.0
11/16/20,2139.0
11/17/20,2212.0
11/18/20,2111.0
11/19/20,2364.0
11/20/20,2275.0
11/21/20,1847.0
11/22/20,2060.0
11/23/20,2419.0
11/24/20,2230.0
11/25/20,2156.0
11/26/20,2292.0
11/27/20,2273.0
11/28/20,1908.0
11/29/20,1788.0
11/30/20,2525.0
12/1/20,2293.0
12/2/20,2198.0
12/3/20,2316.0
12/4/20,2252.0
12/5/20,1798.0
12/6/20,1756.0
12/7/20,2198.0
12/8/20,2202.0
12/9/20,2159.0
12/10/20,1861.0
12/11/20,1884.0
12/12/20,1329.0
12/13/20,1355.0
12/14/20,1799.0
12/15/20,1877.0
12/16/20,1632.0
12/17/20,1134.0
12/18/20,1318.0
12/19/20,1267.0
12/20/20,1153.0
12/21/20,1470.0
12/22/20,1318.0
12/23/20,1367.0
12/24/20,1234.0
12/25/20,1163.0
12/26/20,834.0
12/27/20,1049.0
12/28/20,932.0
12/29/20,1181.0
12/30/20,1235.0
12/31/20,1014.0
1/1/21,990.0
1/2/21,684.0
1/3/21,835.0
1/4/21,910.0
1/5/21,991.0
1/6/21,978.0
1/7/21,1007.0
1/8/21,785.0
1/9/21,692.0
1/10/21,1071.0
1/11/21,849.0
1/12/21,718.0
1/13/21,890.0
1/14/21,813.0
1/15/21,762.0
1/16/21,578.0
1/17/21,569.0
1/18/21,697.0
1/19/21,702.0
1/20/21,656.0
1/21/21,584.0
1/22/21,619.0
1/23/21,436.0
1/24/21,473.0
1/25/21,602.0
1/26/21,515.0
1/27/21,528.0
1/28/21,509.0
1/29/21,454.0
1/30/21,363.0
1/31/21,369.0
2/1/21,443.0
2/2/21,525.0
2/3/21,438.0
2/4/21,485.0
2/5/21,435.0
2/6/21,305.0
2/7/21,292.0
2/8/21,316.0
2/9/21,387.0
2/10/21,388.0
2/11/21,378.0
2/12/21,444.0
2/13/21,291.0
2/14/21,326.0
2/15/21,446.0
2/16/21,396.0
2/17/21,443.0
2/18/21,391.0
2/19/21,406.0
2/20/21,350.0
2/21/21,327.0
2/22/21,366.0
2/23/21,399.0
2/24/21,428.0
2/25/21,410.0
2/26/21,470.0
2/27/21,407.0
2/28/21,385.0
3/1/21,585.0
3/2/21,515.0
3/3/21,614.0
3/4/21,619.0
3/5/21,635.0
3/6/21,540.0
3/7/21,606.0
3/8/21,845.0
3/9/21,912.0
3/10/21,1018.0
3/11/21,1051.0
3/12/21,1066.0
3/13/21,1014.0
3/14/21,1159.0
3/15/21,1773.0
3/16/21,1719.0
3/17/21,1865.0
3/18/21,2187.0
3/19/21,1899.0
3/20/21,1868.0
3/21/21,2172.0
3/22/21,2809.0
3/23/21,3554.0
3/24/21,3567.0
3/25/21,3587.0
3/26/21,3737.0
3/27/21,3674.0
3/28/21,3908.0
3/29/21,5181.0
3/30/21,5042.0
3/31/21,5358.0
4/1/21,6469.0
4/2/21,6830.0
4/3/21,5683.0
4/4/21,7087.0
4/5/21,7075.0
4/6/21,7213.0
4/7/21,7626.0
4/8/21,6854.0
4/9/21,7462.0
4/10/21,5343.0
4/11/21,5819.0
4/12/21,7201.0
4/13/21,6028.0
4/14/21,5185.0
4/15/21,4192.0
4/16/21,4417.0
4/17/21,3473.0
4/18/21,3698.0
4/19/21,4271.0
4/20/21,4559.0
4/21/21,4280.0
4/22/21,4014.0
4/23/21,3629.0
4/24/21,2697.0
4/25/21,2922.0
4/26/21,3306.0
4/27/21,3031.0
4/28/21,2955.0
4/29/21,2341.0
4/30/21,2177.0
5/1/21,1452.0
5/2/21,1359.0
5/3/21,1739.0
5/4/21,1914.0
5/5/21,1742.0
5/6/21,1822.0
5/7/21,1682.0
5/8/21,1285.0
5/9/21,1386.0
5/10/21,1514.0
5/11/21,1230.0
5/12/21,1140.0
5/13/21,1290.0
5/14/21,848.0
5/15/21,261.0
5/16/21,363.0
5/17/21,698.0
5/18/21,1272.0
5/19/21,1608.0
5/20/21,1457.0
5/21/21,1504.0
5/22/21,1028.0
5/23/21,1354.0
5/24/21,1441.0
5/25/21,1675.0
5/26/21,1497.0
5/27/21,1292.0
5/28/21,1358.0
5/29/21,1043.0
5/30/21,1444.0
5/31/21,1710.0
6/1/21,1765.0
6/2/21,1988.0
6/3/21,1687.0
6/4/21,1887.0
6/5/21,1447.0
6/6/21,1676.0
6/7/21,1970.0
6/8/21,2322.0
6/9/21,2537.0
6/10/21,2576.0
6/11/21,2454.0
6/12/21,1637.0
6/13/21,2436.0
6/14/21,3050.0
6/15/21,3319.0
6/16/21,3956.0
6/17/21,3840.0
6/18/21,3883.0
6/19/21,3057.0
6/20/21,3641.0
6/21/21,4636.0
6/22/21,4846.0
6/23/21,5727.0
6/24/21,6058.0
6/25/21,5869.0
6/26/21,4334.0
6/27/21,5268.0
6/28/21,8364.0
6/29/21,7666.0
6/30/21,8822.0
7/1/21,8301.0
7/2/21,8483.0
7/3/21,6214.0
7/4/21,8661.0
7/5/21,9964.0
7/6/21,11525.0
7/7/21,11162.0
7/8/21,11651.0
7/9/21,11324.0
7/10/21,8772.0
7/11/21,11874.0
7/12/21,13768.0
7/13/21,12198.0
7/14/21,12383.0
7/15/21,12236.0
7/16/21,12148.0
7/17/21,8489.0
7/18/21,11578.0
7/19/21,13321.0
7/20/21,11579.0
7/21/21,7614.0
7/22/21,3697.0
7/23/21,6364.0
7/24/21,6780.0
7/25/21,11291.0
7/26/21,15192.0
7/27/21,14925.0
7/28/21,16230.0
7/29/21,15271.0
7/30/21,13862.0
7/31/21,9369.0
8/1/21,14844.0
8/2/21,15989.0
8/3/21,15776.0
8/4/21,13817.0
8/5/21,12744.0
8/6/21,12606.0
8/7/21,8136.0
8/8/21,10299.0
8/9/21,11463.0
8/10/21,11164.0
8/11/21,10420.0
8/12/21,10126.0
8/13/21,8465.0
8/14/21,6885.0
8/15/21,6684.0
8/16/21,6959.0
8/17/21,7535.0
8/18/21,7248.0
8/19/21,6566.0
8/20/21,5993.0
8/21/21,3991.0
8/22/21,4804.0
8/23/21,5717.0
8/24/21,5249.0
8/25/21,4966.0
8/26/21,4698.0
8/27/21,3525.0
8/28/21,3436.0
8/29/21,3948.0
8/30/21,3724.0
8/31/21,3357.0
9/1/21,3062.0
9/2/21,3436.0
9/3/21,3167.0
9/4/21,1743.0
9/5/21,2430.0
9/6/21,2710.0
9/7/21,2639.0
9/8/21,2497.0
9/9/21,2588.0
9/10/21,2325.0
9/11/21,1327.0
9/12/21,1871.0
9/13/21,1953.0
9/14/21,2074.0
9/15/21,1901.0
9/16/21,1862.0
9/17/21,1907.0
9/18/21,1190.0
9/19/21,1383.0
9/20/21,1555.0
9/21/21,1562.0
9/22/21,1376.0
9/23/21,1144.0
9/24/21,1233.0
9/25/21,818.0
9/26/21,980.0
9/27/21,1212.0
9/28/21,1310.0
9/29/21,1178.0
9/30/21,860.0
10/1/21,847.0
10/2/21,589.0
10/3/21,617.0
10/4/21,794.0
10/5/21,694.0
10/6/21,703.0
10/7/21,663.0
10/8/21,645.0
10/9/21,415.0
10/10/21,481.0
10/11/21,599.0
10/12/21,543.0
10/13/21,518.0
10/14/21,466.0
10/15/21,396.0
10/16/21,293.0
10/17/21,314.0
10/18/21,339.0
10/19/21,469.0
10/20/21,368.0
10/21/21,243.0
10/22/21,232.0
10/23/21,278.0
10/24/21,275.0
10/25/21,289.0
10/26/21,276.0
10/27/21,306.0
10/28/21,294.0
10/29/21,305.0
10/30/21,166.0
10/31/21,211.0
11/1/21,214.0
11/2/21,229.0
11/3/21,256.0
11/4/21,247.0
11/5/21,0.0
11/6/21,350.0
11/7/21,178.0
11/8/21,215.0
11/9/21,206.0
11/10/21,235.0
11/11/21,237.0
11/12/21,221.0
11/13/21,151.0
11/14/21,223.0
11/15/21,234.0
11/16/21,213.0
11/17/21,266.0
11/18/21,244.0
11/19/21,253.0
11/20/21,178.0
11/21/21,199.0
11/22/21,264.0
11/23/21,284.0
11/24/21,312.0
11/25/21,237.0
11/26/21,239.0
11/27/21,155.0
11/28/21,205.0
11/29/21,227.0
11/30/21,273.0
12/1/21,282.0
12/2/21,261.0
12/3/21,243.0
12/4/21,0.0
12/5/21,373.0
12/6/21,277.0
12/7/21,291.0
12/8/21,277.0
12/9/21,262.0
12/10/21,269.0
12/11/21,177.0
12/12/21,329.0
12/13/21,385.0
12/14/21,295.0
12/15/21,297.0
12/16/21,257.0
12/17/21,191.0
12/18/21,122.0
12/19/21,211.0
12/20/21,260.0
12/21/21,291.0
12/22/21,352.0
12/23/21,382.0
12/24/21,342.0
12/25/21,275.0
12/26/21,268.0
12/27/21,373.0
12/28/21,397.0
12/29/21,495.0
12/30/21,509.0
12/31/21,512.0
1/1/22,370.0
1/2/22,557.0
1/3/22,674.0
1/4/22,775.0
1/5/22,892.0
1/6/22,1140.0
1/7/22,1146.0
1/8/22,1116.0
1/9/22,1491.0
1/10/22,2231.0
1/11/22,2458.0
1/12/22,2916.0
1/13/22,3359.0
1/14/22,4378.0
1/15/22,3447.0
1/16/22,5222.0
1/17/22,6676.0
1/18/22,8407.0
1/19/22,9500.0
1/20/22,10888.0
1/21/22,11434.0
1/22/22,9614.0
1/23/22,10906.0
1/24/22,14828.0
1/25/22,16033.0
1/26/22,15527.0
1/27/22,15807.0
1/28/22,15440.0
1/29/22,10378.0
1/30/22,12183.0
1/31/22,13501.0
2/1/22,13154.0
2/2/22,12193.0
2/3/22,11596.0
2/4/22,9052.0
2/5/22,8359.0
2/6/22,8345.0
2/7/22,9369.0
2/8/22,8354.0
2/9/22,8016.0
2/10/22,7264.0
2/11/22,5268.0
2/12/22,5023.0
2/13/22,4838.0
2/14/22,4692.0
2/15/22,4746.0
2/16/22,3929.0
2/17/22,3539.0
2/18/22,2584.0
2/19/22,2150.0
2/20/22,1987.0
2/21/22,1951.0
2/22/22,1595.0
2/23/22,1298.0
2/24/22,1516.0
2/25/22,1406.0
2/26/22,759.0
2/27/22,864.0
2/28/22,897.0
