,Croatia
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,1.0
2/26/20,2.0
2/27/20,0.0
2/28/20,2.0
2/29/20,1.0
3/1/20,1.0
3/2/20,0.0
3/3/20,2.0
3/4/20,1.0
3/5/20,0.0
3/6/20,1.0
3/7/20,1.0
3/8/20,0.0
3/9/20,0.0
3/10/20,2.0
3/11/20,5.0
3/12/20,0.0
3/13/20,13.0
3/14/20,6.0
3/15/20,11.0
3/16/20,8.0
3/17/20,8.0
3/18/20,16.0
3/19/20,24.0
3/20/20,23.0
3/21/20,78.0
3/22/20,48.0
3/23/20,61.0
3/24/20,67.0
3/25/20,60.0
3/26/20,53.0
3/27/20,91.0
3/28/20,71.0
3/29/20,56.0
3/30/20,77.0
3/31/20,77.0
4/1/20,96.0
4/2/20,48.0
4/3/20,68.0
4/4/20,47.0
4/5/20,56.0
4/6/20,40.0
4/7/20,60.0
4/8/20,61.0
4/9/20,64.0
4/10/20,88.0
4/11/20,39.0
4/12/20,66.0
4/13/20,50.0
4/14/20,54.0
4/15/20,37.0
4/16/20,50.0
4/17/20,23.0
4/18/20,18.0
4/19/20,39.0
4/20/20,10.0
4/21/20,27.0
4/22/20,42.0
4/23/20,31.0
4/24/20,28.0
4/25/20,7.0
4/26/20,14.0
4/27/20,9.0
4/28/20,8.0
4/29/20,15.0
4/30/20,14.0
5/1/20,9.0
5/2/20,3.0
5/3/20,8.0
5/4/20,5.0
5/5/20,11.0
5/6/20,7.0
5/7/20,6.0
5/8/20,36.0
5/9/20,15.0
5/10/20,11.0
5/11/20,9.0
5/12/20,11.0
5/13/20,6.0
5/14/20,8.0
5/15/20,1.0
5/16/20,2.0
5/17/20,2.0
5/18/20,2.0
5/19/20,4.0
5/20/20,2.0
5/21/20,3.0
5/22/20,6.0
5/23/20,0.0
5/24/20,1.0
5/25/20,0.0
5/26/20,0.0
5/27/20,0.0
5/28/20,1.0
5/29/20,0.0
5/30/20,1.0
5/31/20,0.0
6/1/20,0.0
6/2/20,0.0
6/3/20,0.0
6/4/20,1.0
6/5/20,0.0
6/6/20,0.0
6/7/20,0.0
6/8/20,0.0
6/9/20,0.0
6/10/20,2.0
6/11/20,0.0
6/12/20,0.0
6/13/20,2.0
6/14/20,1.0
6/15/20,2.0
6/16/20,1.0
6/17/20,3.0
6/18/20,11.0
6/19/20,11.0
6/20/20,19.0
6/21/20,18.0
6/22/20,19.0
6/23/20,30.0
6/24/20,22.0
6/25/20,95.0
6/26/20,56.0
6/27/20,85.0
6/28/20,67.0
6/29/20,34.0
6/30/20,52.0
7/1/20,54.0
7/2/20,81.0
7/3/20,96.0
7/4/20,86.0
7/5/20,57.0
7/6/20,69.0
7/7/20,52.0
7/8/20,53.0
7/9/20,91.0
7/10/20,116.0
7/11/20,140.0
7/12/20,50.0
7/13/20,53.0
7/14/20,52.0
7/15/20,126.0
7/16/20,86.0
7/17/20,98.0
7/18/20,116.0
7/19/20,92.0
7/20/20,25.0
7/21/20,52.0
7/22/20,108.0
7/23/20,104.0
7/24/20,81.0
7/25/20,77.0
7/26/20,65.0
7/27/20,24.0
7/28/20,42.0
7/29/20,70.0
7/30/20,78.0
7/31/20,68.0
8/1/20,85.0
8/2/20,36.0
8/3/20,34.0
8/4/20,24.0
8/5/20,58.0
8/6/20,28.0
8/7/20,62.0
8/8/20,77.0
8/9/20,61.0
8/10/20,45.0
8/11/20,91.0
8/12/20,130.0
8/13/20,180.0
8/14/20,208.0
8/15/20,162.0
8/16/20,151.0
8/17/20,85.0
8/18/20,199.0
8/19/20,219.0
8/20/20,255.0
8/21/20,265.0
8/22/20,306.0
8/23/20,275.0
8/24/20,136.0
8/25/20,219.0
8/26/20,358.0
8/27/20,304.0
8/28/20,357.0
8/29/20,312.0
8/30/20,262.0
8/31/20,146.0
9/1/20,145.0
9/2/20,311.0
9/3/20,369.0
9/4/20,334.0
9/5/20,311.0
9/6/20,225.0
9/7/20,117.0
9/8/20,204.0
9/9/20,341.0
9/10/20,291.0
9/11/20,190.0
9/12/20,261.0
9/13/20,165.0
9/14/20,65.0
9/15/20,151.0
9/16/20,280.0
9/17/20,250.0
9/18/20,234.0
9/19/20,212.0
9/20/20,197.0
9/21/20,70.0
9/22/20,144.0
9/23/20,204.0
9/24/20,232.0
9/25/20,223.0
9/26/20,212.0
9/27/20,190.0
9/28/20,48.0
9/29/20,135.0
9/30/20,213.0
10/1/20,234.0
10/2/20,333.0
10/3/20,241.0
10/4/20,258.0
10/5/20,138.0
10/6/20,287.0
10/7/20,363.0
10/8/20,542.0
10/9/20,457.0
10/10/20,486.0
10/11/20,508.0
10/12/20,181.0
10/13/20,372.0
10/14/20,748.0
10/15/20,793.0
10/16/20,1131.0
10/17/20,1096.0
10/18/20,819.0
10/19/20,393.0
10/20/20,890.0
10/21/20,1424.0
10/22/20,1563.0
10/23/20,1867.0
10/24/20,2242.0
10/25/20,2421.0
10/26/20,828.0
10/27/20,1413.0
10/28/20,2378.0
10/29/20,2776.0
10/30/20,2772.0
10/31/20,2769.0
11/1/20,2179.0
11/2/20,1165.0
11/3/20,1427.0
11/4/20,2480.0
11/5/20,2848.0
11/6/20,2890.0
11/7/20,2399.0
11/8/20,2543.0
11/9/20,1529.0
11/10/20,1467.0
11/11/20,2597.0
11/12/20,3082.0
11/13/20,3056.0
11/14/20,2866.0
11/15/20,2362.0
11/16/20,1313.0
11/17/20,1945.0
11/18/20,3251.0
11/19/20,3164.0
11/20/20,2958.0
11/21/20,3573.0
11/22/20,3308.0
11/23/20,1973.0
11/24/20,2323.0
11/25/20,3603.0
11/26/20,4009.0
11/27/20,4080.0
11/28/20,3987.0
11/29/20,2919.0
11/30/20,1830.0
12/1/20,2900.0
12/2/20,3539.0
12/3/20,4534.0
12/4/20,3955.0
12/5/20,4084.0
12/6/20,2899.0
12/7/20,1886.0
12/8/20,2613.0
12/9/20,4520.0
12/10/20,4620.0
12/11/20,4396.0
12/12/20,4135.0
12/13/20,3363.0
12/14/20,1472.0
12/15/20,2360.0
12/16/20,3327.0
12/17/20,3918.0
12/18/20,3272.0
12/19/20,2752.0
12/20/20,1975.0
12/21/20,766.0
12/22/20,1595.0
12/23/20,2763.0
12/24/20,2233.0
12/25/20,1643.0
12/26/20,350.0
12/27/20,618.0
12/28/20,316.0
12/29/20,1350.0
12/30/20,1850.0
12/31/20,2391.0
1/1/21,1170.0
1/2/21,255.0
1/3/21,696.0
1/4/21,361.0
1/5/21,1071.0
1/6/21,1896.0
1/7/21,562.0
1/8/21,1098.0
1/9/21,1401.0
1/10/21,646.0
1/11/21,230.0
1/12/21,759.0
1/13/21,1135.0
1/14/21,980.0
1/15/21,715.0
1/16/21,763.0
1/17/21,379.0
1/18/21,174.0
1/19/21,520.0
1/20/21,902.0
1/21/21,776.0
1/22/21,643.0
1/23/21,599.0
1/24/21,352.0
1/25/21,134.0
1/26/21,448.0
1/27/21,857.0
1/28/21,619.0
1/29/21,561.0
1/30/21,551.0
1/31/21,336.0
2/1/21,94.0
2/2/21,387.0
2/3/21,730.0
2/4/21,516.0
2/5/21,549.0
2/6/21,424.0
2/7/21,276.0
2/8/21,71.0
2/9/21,283.0
2/10/21,577.0
2/11/21,376.0
2/12/21,371.0
2/13/21,379.0
2/14/21,198.0
2/15/21,68.0
2/16/21,274.0
2/17/21,502.0
2/18/21,365.0
2/19/21,388.0
2/20/21,431.0
2/21/21,260.0
2/22/21,72.0
2/23/21,343.0
2/24/21,688.0
2/25/21,544.0
2/26/21,505.0
2/27/21,520.0
2/28/21,356.0
3/1/21,91.0
3/2/21,394.0
3/3/21,747.0
3/4/21,667.0
3/5/21,590.0
3/6/21,658.0
3/7/21,394.0
3/8/21,94.0
3/9/21,491.0
3/10/21,962.0
3/11/21,777.0
3/12/21,823.0
3/13/21,823.0
3/14/21,561.0
3/15/21,129.0
3/16/21,691.0
3/17/21,1445.0
3/18/21,1197.0
3/19/21,1112.0
3/20/21,1186.0
3/21/21,834.0
3/22/21,150.0
3/23/21,956.0
3/24/21,1891.0
3/25/21,1673.0
3/26/21,1802.0
3/27/21,1790.0
3/28/21,1321.0
3/29/21,300.0
3/30/21,1487.0
3/31/21,2623.0
4/1/21,2422.0
4/2/21,2362.0
4/3/21,2234.0
4/4/21,1376.0
4/5/21,138.0
4/6/21,735.0
4/7/21,1649.0
4/8/21,3217.0
4/9/21,2599.0
4/10/21,2535.0
4/11/21,1617.0
4/12/21,422.0
4/13/21,1936.0
4/14/21,3099.0
4/15/21,2927.0
4/16/21,2698.0
4/17/21,2627.0
4/18/21,1565.0
4/19/21,410.0
4/20/21,2106.0
4/21/21,3117.0
4/22/21,2885.0
4/23/21,2529.0
4/24/21,2535.0
4/25/21,1254.0
4/26/21,410.0
4/27/21,1797.0
4/28/21,2904.0
4/29/21,2439.0
4/30/21,2007.0
5/1/21,2046.0
5/2/21,944.0
5/3/21,349.0
5/4/21,1396.0
5/5/21,2494.0
5/6/21,1640.0
5/7/21,1435.0
5/8/21,1342.0
5/9/21,665.0
5/10/21,253.0
5/11/21,876.0
5/12/21,1471.0
5/13/21,1064.0
5/14/21,926.0
5/15/21,826.0
5/16/21,480.0
5/17/21,116.0
5/18/21,491.0
5/19/21,1000.0
5/20/21,695.0
5/21/21,525.0
5/22/21,518.0
5/23/21,251.0
5/24/21,74.0
5/25/21,323.0
5/26/21,538.0
5/27/21,375.0
5/28/21,321.0
5/29/21,338.0
5/30/21,186.0
5/31/21,40.0
6/1/21,216.0
6/2/21,432.0
6/3/21,280.0
6/4/21,88.0
6/5/21,211.0
6/6/21,157.0
6/7/21,43.0
6/8/21,178.0
6/9/21,275.0
6/10/21,184.0
6/11/21,134.0
6/12/21,125.0
6/13/21,59.0
6/14/21,18.0
6/15/21,96.0
6/16/21,146.0
6/17/21,95.0
6/18/21,113.0
6/19/21,84.0
6/20/21,58.0
6/21/21,11.0
6/22/21,75.0
6/23/21,43.0
6/24/21,101.0
6/25/21,118.0
6/26/21,86.0
6/27/21,45.0
6/28/21,14.0
6/29/21,70.0
6/30/21,136.0
7/1/21,103.0
7/2/21,92.0
7/3/21,114.0
7/4/21,56.0
7/5/21,9.0
7/6/21,96.0
7/7/21,141.0
7/8/21,110.0
7/9/21,87.0
7/10/21,88.0
7/11/21,58.0
7/12/21,15.0
7/13/21,83.0
7/14/21,155.0
7/15/21,139.0
7/16/21,131.0
7/17/21,139.0
7/18/21,107.0
7/19/21,18.0
7/20/21,146.0
7/21/21,191.0
7/22/21,179.0
7/23/21,176.0
7/24/21,191.0
7/25/21,125.0
7/26/21,27.0
7/27/21,193.0
7/28/21,198.0
7/29/21,188.0
7/30/21,170.0
7/31/21,218.0
8/1/21,143.0
8/2/21,29.0
8/3/21,186.0
8/4/21,271.0
8/5/21,247.0
8/6/21,108.0
8/7/21,233.0
8/8/21,213.0
8/9/21,44.0
8/10/21,246.0
8/11/21,381.0
8/12/21,333.0
8/13/21,308.0
8/14/21,367.0
8/15/21,298.0
8/16/21,46.0
8/17/21,341.0
8/18/21,524.0
8/19/21,486.0
8/20/21,468.0
8/21/21,505.0
8/22/21,373.0
8/23/21,73.0
8/24/21,470.0
8/25/21,677.0
8/26/21,638.0
8/27/21,596.0
8/28/21,595.0
8/29/21,377.0
8/30/21,139.0
8/31/21,668.0
9/1/21,805.0
9/2/21,798.0
9/3/21,816.0
9/4/21,882.0
9/5/21,539.0
9/6/21,184.0
9/7/21,704.0
9/8/21,1237.0
9/9/21,941.0
9/10/21,1042.0
9/11/21,1162.0
9/12/21,807.0
9/13/21,167.0
9/14/21,974.0
9/15/21,1835.0
9/16/21,1369.0
9/17/21,1394.0
9/18/21,1455.0
9/19/21,875.0
9/20/21,264.0
9/21/21,1037.0
9/22/21,1812.0
9/23/21,1373.0
9/24/21,1291.0
9/25/21,1293.0
9/26/21,837.0
9/27/21,217.0
9/28/21,1061.0
9/29/21,1911.0
9/30/21,1710.0
10/1/21,1517.0
10/2/21,1448.0
10/3/21,944.0
10/4/21,219.0
10/5/21,1074.0
10/6/21,1925.0
10/7/21,1748.0
10/8/21,1691.0
10/9/21,1594.0
10/10/21,908.0
10/11/21,170.0
10/12/21,1007.0
10/13/21,2022.0
10/14/21,1851.0
10/15/21,1758.0
10/16/21,1947.0
10/17/21,1301.0
10/18/21,319.0
10/19/21,1741.0
10/20/21,3162.0
10/21/21,3053.0
10/22/21,3258.0
10/23/21,3585.0
10/24/21,2293.0
10/25/21,680.0
10/26/21,3360.0
10/27/21,4571.0
10/28/21,4154.0
10/29/21,4392.0
10/30/21,4547.0
10/31/21,3319.0
11/1/21,1126.0
11/2/21,785.0
11/3/21,4573.0
11/4/21,6310.0
11/5/21,6932.0
11/6/21,7094.0
11/7/21,4159.0
11/8/21,1242.0
11/9/21,4966.0
11/10/21,7315.0
11/11/21,6987.0
11/12/21,6449.0
11/13/21,6315.0
11/14/21,4151.0
11/15/21,1135.0
11/16/21,4443.0
11/17/21,6670.0
11/18/21,7270.0
11/19/21,2234.0
11/20/21,5614.0
11/21/21,4262.0
11/22/21,1327.0
11/23/21,4926.0
11/24/21,6136.0
11/25/21,6246.0
11/26/21,5460.0
11/27/21,5502.0
11/28/21,3339.0
11/29/21,1031.0
11/30/21,3858.0
12/1/21,5709.0
12/2/21,5341.0
12/3/21,4521.0
12/4/21,4465.0
12/5/21,2796.0
12/6/21,728.0
12/7/21,3262.0
12/8/21,4751.0
12/9/21,4428.0
12/10/21,3797.0
12/11/21,3860.0
12/12/21,2339.0
12/13/21,453.0
12/14/21,3071.0
12/15/21,4671.0
12/16/21,3765.0
12/17/21,3778.0
12/18/21,3487.0
12/19/21,1936.0
12/20/21,367.0
12/21/21,2803.0
12/22/21,4226.0
12/23/21,3831.0
12/24/21,3241.0
12/25/21,3271.0
12/26/21,151.0
12/27/21,560.0
12/28/21,4139.0
12/29/21,5768.0
12/30/21,5958.0
12/31/21,5567.0
1/1/22,5293.0
1/2/22,413.0
1/3/22,1103.0
1/4/22,5845.0
1/5/22,8587.0
1/6/22,9058.0
1/7/22,3911.0
1/8/22,8817.0
1/9/22,7333.0
1/10/22,1578.0
1/11/22,7956.0
1/12/22,9894.0
1/13/22,9157.0
1/14/22,8555.0
1/15/22,8958.0
1/16/22,5732.0
1/17/22,1397.0
1/18/22,7548.0
1/19/22,10427.0
1/20/22,11343.0
1/21/22,11114.0
1/22/22,10701.0
1/23/22,7095.0
1/24/22,1831.0
1/25/22,8471.0
1/26/22,11812.0
1/27/22,10500.0
1/28/22,9924.0
1/29/22,9904.0
1/30/22,6220.0
1/31/22,1445.0
2/1/22,7385.0
2/2/22,10003.0
2/3/22,8815.0
2/4/22,8094.0
2/5/22,7536.0
2/6/22,4780.0
2/7/22,1270.0
2/8/22,5545.0
2/9/22,7868.0
2/10/22,6341.0
2/11/22,5169.0
2/12/22,5212.0
2/13/22,2730.0
2/14/22,452.0
2/15/22,3410.0
2/16/22,5795.0
2/17/22,4461.0
2/18/22,3599.0
2/19/22,3525.0
2/20/22,2055.0
2/21/22,312.0
2/22/22,1810.0
2/23/22,3774.0
2/24/22,2559.0
2/25/22,2030.0
2/26/22,1871.0
2/27/22,1028.0
2/28/22,198.0
