,Finland
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,1.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,1.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,1.0
2/24/20,0.0
2/25/20,0.0
2/26/20,1.0
2/27/20,0.0
2/28/20,1.0
2/29/20,3.0
3/1/20,1.0
3/2/20,1.0
3/3/20,0.0
3/4/20,4.0
3/5/20,6.0
3/6/20,1.0
3/7/20,7.0
3/8/20,7.0
3/9/20,9.0
3/10/20,17.0
3/11/20,54.0
3/12/20,76.0
3/13/20,60.0
3/14/20,28.0
3/15/20,29.0
3/16/20,53.0
3/17/20,52.0
3/18/20,47.0
3/19/20,90.0
3/20/20,99.0
3/21/20,87.0
3/22/20,87.0
3/23/20,78.0
3/24/20,84.0
3/25/20,99.0
3/26/20,104.0
3/27/20,113.0
3/28/20,95.0
3/29/20,77.0
3/30/20,70.0
3/31/20,129.0
4/1/20,125.0
4/2/20,149.0
4/3/20,161.0
4/4/20,199.0
4/5/20,81.0
4/6/20,122.0
4/7/20,209.0
4/8/20,200.0
4/9/20,138.0
4/10/20,158.0
4/11/20,71.0
4/12/20,75.0
4/13/20,80.0
4/14/20,117.0
4/15/20,175.0
4/16/20,130.0
4/17/20,120.0
4/18/20,125.0
4/19/20,56.0
4/20/20,67.0
4/21/20,143.0
4/22/20,112.0
4/23/20,124.0
4/24/20,116.0
4/25/20,92.0
4/26/20,76.0
4/27/20,73.0
4/28/20,123.0
4/29/20,139.0
4/30/20,108.0
5/1/20,86.0
5/2/20,48.0
5/3/20,58.0
5/4/20,61.0
5/5/20,133.0
5/6/20,125.0
5/7/20,95.0
5/8/20,108.0
5/9/20,81.0
5/10/20,47.0
5/11/20,28.0
5/12/20,92.0
5/13/20,67.0
5/14/20,78.0
5/15/20,50.0
5/16/20,55.0
5/17/20,25.0
5/18/20,29.0
5/19/20,45.0
5/20/20,41.0
5/21/20,43.0
5/22/20,22.0
5/23/20,32.0
5/24/20,18.0
5/25/20,20.0
5/26/20,45.0
5/27/20,33.0
5/28/20,12.0
5/29/20,30.0
5/30/20,21.0
5/31/20,10.0
6/1/20,12.0
6/2/20,17.0
6/3/20,15.0
6/4/20,25.0
6/5/20,12.0
6/6/20,13.0
6/7/20,13.0
6/8/20,4.0
6/9/20,10.0
6/10/20,8.0
6/11/20,7.0
6/12/20,9.0
6/13/20,13.0
6/14/20,2.0
6/15/20,5.0
6/16/20,16.0
6/17/20,8.0
6/18/20,4.0
6/19/20,8.0
6/20/20,0.0
6/21/20,2.0
6/22/20,13.0
6/23/20,5.0
6/24/20,5.0
6/25/20,17.0
6/26/20,14.0
6/27/20,3.0
6/28/20,2.0
6/29/20,7.0
6/30/20,16.0
7/1/20,10.0
7/2/20,2.0
7/3/20,7.0
7/4/20,6.0
7/5/20,2.0
7/6/20,3.0
7/7/20,8.0
7/8/20,3.0
7/9/20,9.0
7/10/20,8.0
7/11/20,6.0
7/12/20,0.0
7/13/20,4.0
7/14/20,6.0
7/15/20,5.0
7/16/20,5.0
7/17/20,9.0
7/18/20,6.0
7/19/20,7.0
7/20/20,5.0
7/21/20,12.0
7/22/20,8.0
7/23/20,11.0
7/24/20,3.0
7/25/20,10.0
7/26/20,4.0
7/27/20,8.0
7/28/20,12.0
7/29/20,9.0
7/30/20,12.0
7/31/20,8.0
8/1/20,18.0
8/2/20,15.0
8/3/20,10.0
8/4/20,35.0
8/5/20,22.0
8/6/20,29.0
8/7/20,22.0
8/8/20,17.0
8/9/20,9.0
8/10/20,35.0
8/11/20,15.0
8/12/20,28.0
8/13/20,27.0
8/14/20,21.0
8/15/20,27.0
8/16/20,14.0
8/17/20,43.0
8/18/20,27.0
8/19/20,39.0
8/20/20,47.0
8/21/20,27.0
8/22/20,25.0
8/23/20,16.0
8/24/20,11.0
8/25/20,17.0
8/26/20,15.0
8/27/20,20.0
8/28/20,32.0
8/29/20,35.0
8/30/20,19.0
8/31/20,18.0
9/1/20,48.0
9/2/20,29.0
9/3/20,26.0
9/4/20,36.0
9/5/20,42.0
9/6/20,22.0
9/7/20,33.0
9/8/20,45.0
9/9/20,57.0
9/10/20,55.0
9/11/20,54.0
9/12/20,58.0
9/13/20,40.0
9/14/20,45.0
9/15/20,59.0
9/16/20,53.0
9/17/20,58.0
9/18/20,85.0
9/19/20,77.0
9/20/20,64.0
9/21/20,74.0
9/22/20,120.0
9/23/20,110.0
9/24/20,118.0
9/25/20,98.0
9/26/20,128.0
9/27/20,74.0
9/28/20,71.0
9/29/20,124.0
9/30/20,134.0
10/1/20,168.0
10/2/20,191.0
10/3/20,187.0
10/4/20,178.0
10/5/20,148.0
10/6/20,291.0
10/7/20,301.0
10/8/20,306.0
10/9/20,259.0
10/10/20,226.0
10/11/20,111.0
10/12/20,132.0
10/13/20,256.0
10/14/20,199.0
10/15/20,202.0
10/16/20,191.0
10/17/20,195.0
10/18/20,104.0
10/19/20,129.0
10/20/20,243.0
10/21/20,167.0
10/22/20,188.0
10/23/20,223.0
10/24/20,194.0
10/25/20,107.0
10/26/20,124.0
10/27/20,255.0
10/28/20,234.0
10/29/20,240.0
10/30/20,236.0
10/31/20,220.0
11/1/20,121.0
11/2/20,151.0
11/3/20,287.0
11/4/20,241.0
11/5/20,214.0
11/6/20,218.0
11/7/20,196.0
11/8/20,128.0
11/9/20,132.0
11/10/20,273.0
11/11/20,206.0
11/12/20,295.0
11/13/20,284.0
11/14/20,268.0
11/15/20,145.0
11/16/20,180.0
11/17/20,393.0
11/18/20,388.0
11/19/20,377.0
11/20/20,478.0
11/21/20,428.0
11/22/20,270.0
11/23/20,267.0
11/24/20,504.0
11/25/20,471.0
11/26/20,619.0
11/27/20,510.0
11/28/20,456.0
11/29/20,284.0
11/30/20,293.0
12/1/20,596.0
12/2/20,440.0
12/3/20,495.0
12/4/20,478.0
12/5/20,473.0
12/6/20,250.0
12/7/20,283.0
12/8/20,587.0
12/9/20,478.0
12/10/20,462.0
12/11/20,407.0
12/12/20,447.0
12/13/20,249.0
12/14/20,276.0
12/15/20,463.0
12/16/20,360.0
12/17/20,352.0
12/18/20,325.0
12/19/20,394.0
12/20/20,191.0
12/21/20,244.0
12/22/20,375.0
12/23/20,332.0
12/24/20,277.0
12/25/20,138.0
12/26/20,157.0
12/27/20,183.0
12/28/20,191.0
12/29/20,435.0
12/30/20,308.0
12/31/20,255.0
1/1/21,254.0
1/2/21,128.0
1/3/21,205.0
1/4/21,169.0
1/5/21,397.0
1/6/21,262.0
1/7/21,208.0
1/8/21,332.0
1/9/21,252.0
1/10/21,193.0
1/11/21,188.0
1/12/21,386.0
1/13/21,229.0
1/14/21,258.0
1/15/21,248.0
1/16/21,266.0
1/17/21,171.0
1/18/21,198.0
1/19/21,447.0
1/20/21,342.0
1/21/21,406.0
1/22/21,377.0
1/23/21,361.0
1/24/21,168.0
1/25/21,247.0
1/26/21,605.0
1/27/21,397.0
1/28/21,382.0
1/29/21,435.0
1/30/21,379.0
1/31/21,234.0
2/1/21,274.0
2/2/21,533.0
2/3/21,396.0
2/4/21,441.0
2/5/21,372.0
2/6/21,366.0
2/7/21,237.0
2/8/21,264.0
2/9/21,461.0
2/10/21,373.0
2/11/21,383.0
2/12/21,361.0
2/13/21,417.0
2/14/21,279.0
2/15/21,281.0
2/16/21,617.0
2/17/21,513.0
2/18/21,553.0
2/19/21,614.0
2/20/21,572.0
2/21/21,318.0
2/22/21,355.0
2/23/21,623.0
2/24/21,625.0
2/25/21,599.0
2/26/21,629.0
2/27/21,688.0
2/28/21,405.0
3/1/21,422.0
3/2/21,871.0
3/3/21,756.0
3/4/21,733.0
3/5/21,638.0
3/6/21,630.0
3/7/21,433.0
3/8/21,396.0
3/9/21,834.0
3/10/21,771.0
3/11/21,822.0
3/12/21,780.0
3/13/21,808.0
3/14/21,495.0
3/15/21,435.0
3/16/21,892.0
3/17/21,767.0
3/18/21,743.0
3/19/21,739.0
3/20/21,745.0
3/21/21,404.0
3/22/21,420.0
3/23/21,768.0
3/24/21,703.0
3/25/21,695.0
3/26/21,606.0
3/27/21,688.0
3/28/21,352.0
3/29/21,375.0
3/30/21,655.0
3/31/21,572.0
4/1/21,550.0
4/2/21,486.0
4/3/21,361.0
4/4/21,324.0
4/5/21,322.0
4/6/21,360.0
4/7/21,544.0
4/8/21,426.0
4/9/21,407.0
4/10/21,352.0
4/11/21,227.0
4/12/21,240.0
4/13/21,399.0
4/14/21,323.0
4/15/21,344.0
4/16/21,274.0
4/17/21,265.0
4/18/21,172.0
4/19/21,156.0
4/20/21,286.0
4/21/21,286.0
4/22/21,233.0
4/23/21,256.0
4/24/21,255.0
4/25/21,154.0
4/26/21,140.0
4/27/21,242.0
4/28/21,229.0
4/29/21,274.0
4/30/21,201.0
5/1/21,197.0
5/2/21,109.0
5/3/21,135.0
5/4/21,316.0
5/5/21,206.0
5/6/21,265.0
5/7/21,239.0
5/8/21,214.0
5/9/21,134.0
5/10/21,130.0
5/11/21,257.0
5/12/21,215.0
5/13/21,256.0
5/14/21,157.0
5/15/21,249.0
5/16/21,164.0
5/17/21,134.0
5/18/21,284.0
5/19/21,217.0
5/20/21,231.0
5/21/21,217.0
5/22/21,168.0
5/23/21,108.0
5/24/21,93.0
5/25/21,188.0
5/26/21,153.0
5/27/21,143.0
5/28/21,127.0
5/29/21,135.0
5/30/21,64.0
5/31/21,79.0
6/1/21,151.0
6/2/21,121.0
6/3/21,119.0
6/4/21,111.0
6/5/21,102.0
6/6/21,64.0
6/7/21,60.0
6/8/21,139.0
6/9/21,101.0
6/10/21,81.0
6/11/21,73.0
6/12/21,70.0
6/13/21,46.0
6/14/21,48.0
6/15/21,93.0
6/16/21,78.0
6/17/21,64.0
6/18/21,91.0
6/19/21,81.0
6/20/21,57.0
6/21/21,80.0
6/22/21,112.0
6/23/21,110.0
6/24/21,144.0
6/25/21,162.0
6/26/21,195.0
6/27/21,131.0
6/28/21,119.0
6/29/21,230.0
6/30/21,261.0
7/1/21,196.0
7/2/21,202.0
7/3/21,167.0
7/4/21,132.0
7/5/21,108.0
7/6/21,243.0
7/7/21,260.0
7/8/21,292.0
7/9/21,284.0
7/10/21,308.0
7/11/21,149.0
7/12/21,160.0
7/13/21,330.0
7/14/21,342.0
7/15/21,382.0
7/16/21,382.0
7/17/21,355.0
7/18/21,206.0
7/19/21,249.0
7/20/21,420.0
7/21/21,424.0
7/22/21,468.0
7/23/21,487.0
7/24/21,478.0
7/25/21,301.0
7/26/21,351.0
7/27/21,770.0
7/28/21,725.0
7/29/21,810.0
7/30/21,772.0
7/31/21,696.0
8/1/21,408.0
8/2/21,477.0
8/3/21,893.0
8/4/21,840.0
8/5/21,784.0
8/6/21,876.0
8/7/21,685.0
8/8/21,485.0
8/9/21,537.0
8/10/21,1036.0
8/11/21,826.0
8/12/21,923.0
8/13/21,789.0
8/14/21,740.0
8/15/21,426.0
8/16/21,445.0
8/17/21,768.0
8/18/21,741.0
8/19/21,708.0
8/20/21,670.0
8/21/21,655.0
8/22/21,398.0
8/23/21,456.0
8/24/21,682.0
8/25/21,609.0
8/26/21,699.0
8/27/21,610.0
8/28/21,704.0
8/29/21,439.0
8/30/21,464.0
8/31/21,744.0
9/1/21,650.0
9/2/21,648.0
9/3/21,650.0
9/4/21,520.0
9/5/21,336.0
9/6/21,346.0
9/7/21,581.0
9/8/21,522.0
9/9/21,482.0
9/10/21,459.0
9/11/21,496.0
9/12/21,329.0
9/13/21,283.0
9/14/21,533.0
9/15/21,480.0
9/16/21,454.0
9/17/21,436.0
9/18/21,389.0
9/19/21,240.0
9/20/21,285.0
9/21/21,489.0
9/22/21,489.0
9/23/21,484.0
9/24/21,480.0
9/25/21,424.0
9/26/21,299.0
9/27/21,355.0
9/28/21,684.0
9/29/21,643.0
9/30/21,669.0
10/1/21,618.0
10/2/21,531.0
10/3/21,355.0
10/4/21,383.0
10/5/21,743.0
10/6/21,729.0
10/7/21,746.0
10/8/21,611.0
10/9/21,596.0
10/10/21,425.0
10/11/21,399.0
10/12/21,691.0
10/13/21,610.0
10/14/21,638.0
10/15/21,558.0
10/16/21,562.0
10/17/21,344.0
10/18/21,319.0
10/19/21,661.0
10/20/21,550.0
10/21/21,516.0
10/22/21,623.0
10/23/21,580.0
10/24/21,374.0
10/25/21,389.0
10/26/21,793.0
10/27/21,680.0
10/28/21,640.0
10/29/21,590.0
10/30/21,655.0
10/31/21,405.0
11/1/21,439.0
11/2/21,973.0
11/3/21,755.0
11/4/21,771.0
11/5/21,802.0
11/6/21,842.0
11/7/21,514.0
11/8/21,508.0
11/9/21,1122.0
11/10/21,833.0
11/11/21,968.0
11/12/21,934.0
11/13/21,946.0
11/14/21,618.0
11/15/21,571.0
11/16/21,1252.0
11/17/21,1199.0
11/18/21,1170.0
11/19/21,1215.0
11/20/21,1274.0
11/21/21,708.0
11/22/21,675.0
11/23/21,1422.0
11/24/21,1338.0
11/25/21,1255.0
11/26/21,1276.0
11/27/21,1300.0
11/28/21,794.0
11/29/21,790.0
11/30/21,1702.0
12/1/21,1427.0
12/2/21,1444.0
12/3/21,1468.0
12/4/21,1529.0
12/5/21,972.0
12/6/21,1003.0
12/7/21,1077.0
12/8/21,1925.0
12/9/21,1733.0
12/10/21,1708.0
12/11/21,1803.0
12/12/21,1124.0
12/13/21,1269.0
12/14/21,2356.0
12/15/21,1833.0
12/16/21,2099.0
12/17/21,1990.0
12/18/21,2172.0
12/19/21,1614.0
12/20/21,1754.0
12/21/21,3040.0
12/22/21,3169.0
12/23/21,3537.0
12/24/21,3904.0
12/25/21,2275.0
12/26/21,2673.0
12/27/21,3300.0
12/28/21,6658.0
12/29/21,6873.0
12/30/21,7385.0
12/31/21,7325.0
1/1/22,6871.0
1/2/22,4002.0
1/3/22,4977.0
1/4/22,9525.0
1/5/22,9984.0
1/6/22,9727.0
1/7/22,7331.0
1/8/22,9024.0
1/9/22,5800.0
1/10/22,6641.0
1/11/22,10547.0
1/12/22,9212.0
1/13/22,8928.0
1/14/22,8275.0
1/15/22,8097.0
1/16/22,5702.0
1/17/22,6250.0
1/18/22,10127.0
1/19/22,9164.0
1/20/22,8512.0
1/21/22,8048.0
1/22/22,7296.0
1/23/22,4368.0
1/24/22,4596.0
1/25/22,7168.0
1/26/22,3393.0
1/27/22,6271.0
1/28/22,4766.0
1/29/22,0.0
1/30/22,0.0
1/31/22,14439.0
2/1/22,3244.0
2/2/22,8038.0
2/3/22,6788.0
2/4/22,6952.0
2/5/22,0.0
2/6/22,0.0
2/7/22,19898.0
2/8/22,7472.0
2/9/22,4520.0
2/10/22,12805.0
2/11/22,10386.0
2/12/22,0.0
2/13/22,0.0
2/14/22,12410.0
2/15/22,4426.0
2/16/22,5956.0
2/17/22,7953.0
2/18/22,4328.0
2/19/22,0.0
2/20/22,0.0
2/21/22,17671.0
2/22/22,2746.0
2/23/22,4264.0
2/24/22,7931.0
2/25/22,71.0
2/26/22,0.0
2/27/22,0.0
2/28/22,28.0
