,Ukraine
1/22/20,0.0
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,0.0
3/13/20,2.0
3/14/20,0.0
3/15/20,0.0
3/16/20,4.0
3/17/20,7.0
3/18/20,0.0
3/19/20,2.0
3/20/20,13.0
3/21/20,18.0
3/22/20,26.0
3/23/20,0.0
3/24/20,24.0
3/25/20,48.0
3/26/20,51.0
3/27/20,114.0
3/28/20,46.0
3/29/20,119.0
3/30/20,73.0
3/31/20,97.0
4/1/20,149.0
4/2/20,103.0
4/3/20,175.0
4/4/20,153.0
4/5/20,83.0
4/6/20,11.0
4/7/20,143.0
4/8/20,206.0
4/9/20,224.0
4/10/20,311.0
4/11/20,308.0
4/12/20,266.0
4/13/20,325.0
4/14/20,270.0
4/15/20,392.0
4/16/20,397.0
4/17/20,501.0
4/18/20,444.0
4/19/20,343.0
4/20/20,261.0
4/21/20,415.0
4/22/20,467.0
4/23/20,578.0
4/24/20,477.0
4/25/20,478.0
4/26/20,492.0
4/27/20,392.0
4/28/20,401.0
4/29/20,456.0
4/30/20,540.0
5/1/20,455.0
5/2/20,550.0
5/3/20,502.0
5/4/20,418.0
5/5/20,366.0
5/6/20,487.0
5/7/20,507.0
5/8/20,504.0
5/9/20,515.0
5/10/20,522.0
5/11/20,416.0
5/12/20,375.0
5/13/20,402.0
5/14/20,422.0
5/15/20,483.0
5/16/20,528.0
5/17/20,433.0
5/18/20,325.0
5/19/20,260.0
5/20/20,354.0
5/21/20,476.0
5/22/20,442.0
5/23/20,432.0
5/24/20,406.0
5/25/20,259.0
5/26/20,339.0
5/27/20,321.0
5/28/20,477.0
5/29/20,429.0
5/30/20,393.0
5/31/20,468.0
6/1/20,890.0
6/2/20,333.0
6/3/20,490.0
6/4/20,596.0
6/5/20,561.0
6/6/20,559.0
6/7/20,498.0
6/8/20,478.0
6/9/20,402.0
6/10/20,536.0
6/11/20,691.0
6/12/20,709.0
6/13/20,762.0
6/14/20,674.0
6/15/20,685.0
6/16/20,673.0
6/17/20,777.0
6/18/20,847.0
6/19/20,922.0
6/20/20,860.0
6/21/20,746.0
6/22/20,695.0
6/23/20,845.0
6/24/20,951.0
6/25/20,1002.0
6/26/20,1121.0
6/27/20,957.0
6/28/20,924.0
6/29/20,682.0
6/30/20,716.0
7/1/20,670.0
7/2/20,897.0
7/3/20,884.0
7/4/20,923.0
7/5/20,840.0
7/6/20,585.0
7/7/20,569.0
7/8/20,835.0
7/9/20,828.0
7/10/20,831.0
7/11/20,825.0
7/12/20,706.0
7/13/20,638.0
7/14/20,646.0
7/15/20,848.0
7/16/20,861.0
7/17/20,826.0
7/18/20,867.0
7/19/20,744.0
7/20/20,690.0
7/21/20,687.0
7/22/20,841.0
7/23/20,874.0
7/24/20,1004.0
7/25/20,1144.0
7/26/20,944.0
7/27/20,835.0
7/28/20,934.0
7/29/20,1048.0
7/30/20,1222.0
7/31/20,1104.0
8/1/20,1205.0
8/2/20,1152.0
8/3/20,1020.0
8/4/20,1099.0
8/5/20,1289.0
8/6/20,1346.0
8/7/20,1503.0
8/8/20,1516.0
8/9/20,1233.0
8/10/20,1045.0
8/11/20,1211.0
8/12/20,1481.0
8/13/20,1632.0
8/14/20,1781.0
8/15/20,1878.0
8/16/20,1695.0
8/17/20,1517.0
8/18/20,1646.0
8/19/20,2005.0
8/20/20,2152.0
8/21/20,2138.0
8/22/20,2389.0
8/23/20,2042.0
8/24/20,1855.0
8/25/20,1715.0
8/26/20,1704.0
8/27/20,2010.0
8/28/20,2509.0
8/29/20,2579.0
8/30/20,2179.0
8/31/20,2202.0
9/1/20,2147.0
9/2/20,2554.0
9/3/20,2467.0
9/4/20,2769.0
9/5/20,2897.0
9/6/20,2205.0
9/7/20,2253.0
9/8/20,2490.0
9/9/20,2597.0
9/10/20,2635.0
9/11/20,3227.0
9/12/20,3185.0
9/13/20,2564.0
9/14/20,2557.0
9/15/20,2999.0
9/16/20,3016.0
9/17/20,3679.0
9/18/20,3330.0
9/19/20,3345.0
9/20/20,3071.0
9/21/20,2781.0
9/22/20,2990.0
9/23/20,3598.0
9/24/20,3478.0
9/25/20,3665.0
9/26/20,3935.0
9/27/20,3233.0
9/28/20,2780.0
9/29/20,3730.0
9/30/20,4137.0
10/1/20,4179.0
10/2/20,4751.0
10/3/20,4785.0
10/4/20,4263.0
10/5/20,3905.0
10/6/20,4482.0
10/7/20,4887.0
10/8/20,5545.0
10/9/20,5961.0
10/10/20,5901.0
10/11/20,4960.0
10/12/20,4606.0
10/13/20,5311.0
10/14/20,5780.0
10/15/20,5260.0
10/16/20,6205.0
10/17/20,6629.0
10/18/20,5445.0
10/19/20,4986.0
10/20/20,5680.0
10/21/20,6975.0
10/22/20,7320.0
10/23/20,7780.0
10/24/20,7275.0
10/25/20,6406.0
10/26/20,5625.0
10/27/20,6885.0
10/28/20,7790.0
10/29/20,7641.0
10/30/20,8608.0
10/31/20,9058.0
11/1/20,8243.0
11/2/20,6994.0
11/3/20,9116.0
11/4/20,9809.0
11/5/20,10138.0
11/6/20,9935.0
11/7/20,11033.0
11/8/20,9647.0
11/9/20,8908.0
11/10/20,10391.0
11/11/20,10879.0
11/12/20,11332.0
11/13/20,12053.0
11/14/20,12785.0
11/15/20,10940.0
11/16/20,10048.0
11/17/20,12177.0
11/18/20,12764.0
11/19/20,13630.0
11/20/20,14834.0
11/21/20,14864.0
11/22/20,12365.0
11/23/20,11227.0
11/24/20,12526.0
11/25/20,14164.0
11/26/20,15623.0
11/27/20,16494.0
11/28/20,16585.0
11/29/20,13271.0
11/30/20,10238.0
12/1/20,12774.0
12/2/20,13443.0
12/3/20,14812.0
12/4/20,15456.0
12/5/20,14157.0
12/6/20,11928.0
12/7/20,8985.0
12/8/20,11156.0
12/9/20,12937.0
12/10/20,13736.0
12/11/20,13893.0
12/12/20,13219.0
12/13/20,9605.0
12/14/20,6877.0
12/15/20,8840.0
12/16/20,11057.0
12/17/20,12474.0
12/18/20,13066.0
12/19/20,12179.0
12/20/20,8763.0
12/21/20,6978.0
12/22/20,8949.0
12/23/20,10572.0
12/24/20,11926.0
12/25/20,11458.0
12/26/20,8134.0
12/27/20,6548.0
12/28/20,4809.0
12/29/20,7402.0
12/30/20,8404.0
12/31/20,10117.0
1/1/21,9858.0
1/2/21,5401.0
1/3/21,4881.0
1/4/21,4494.0
1/5/21,5625.0
1/6/21,7226.0
1/7/21,9320.0
1/8/21,5998.0
1/9/21,5143.0
1/10/21,5322.0
1/11/21,4585.0
1/12/21,5393.0
1/13/21,6715.0
1/14/21,8385.0
1/15/21,8620.0
1/16/21,8151.0
1/17/21,6398.0
1/18/21,3382.0
1/19/21,4231.0
1/20/21,4729.0
1/21/21,5926.0
1/22/21,5679.0
1/23/21,5264.0
1/24/21,4242.0
1/25/21,2807.0
1/26/21,3038.0
1/27/21,4053.0
1/28/21,5811.0
1/29/21,5453.0
1/30/21,4966.0
1/31/21,3453.0
2/1/21,2287.0
2/2/21,2631.0
2/3/21,3537.0
2/4/21,5333.0
2/5/21,5167.0
2/6/21,4558.0
2/7/21,3610.0
2/8/21,2356.0
2/9/21,2867.0
2/10/21,3645.0
2/11/21,5274.0
2/12/21,4995.0
2/13/21,5403.0
2/14/21,3311.0
2/15/21,2540.0
2/16/21,3346.0
2/17/21,4485.0
2/18/21,6441.0
2/19/21,6722.0
2/20/21,6473.0
2/21/21,4663.0
2/22/21,3355.0
2/23/21,4326.0
2/24/21,5990.0
2/25/21,8278.0
2/26/21,8134.0
2/27/21,8297.0
2/28/21,5958.0
3/1/21,4406.0
3/2/21,5460.0
3/3/21,7354.0
3/4/21,10179.0
3/5/21,10273.0
3/6/21,9257.0
3/7/21,7284.0
3/8/21,5680.0
3/9/21,3364.0
3/10/21,6480.0
3/11/21,9187.0
3/12/21,13045.0
3/13/21,13376.0
3/14/21,9110.0
3/15/21,6882.0
3/16/21,9730.0
3/17/21,11921.0
3/18/21,15143.0
3/19/21,15937.0
3/20/21,15376.0
3/21/21,11229.0
3/22/21,7982.0
3/23/21,11564.0
3/24/21,14266.0
3/25/21,16762.0
3/26/21,18226.0
3/27/21,17526.0
3/28/21,12041.0
3/29/21,8468.0
3/30/21,10648.0
3/31/21,11345.0
4/1/21,17681.0
4/2/21,20003.0
4/3/21,20456.0
4/4/21,13858.0
4/5/21,10300.0
4/6/21,13398.0
4/7/21,15535.0
4/8/21,19546.0
4/9/21,19799.0
4/10/21,17587.0
4/11/21,12238.0
4/12/21,7985.0
4/13/21,11809.0
4/14/21,14677.0
4/15/21,16553.0
4/16/21,17602.0
4/17/21,15104.0
4/18/21,10407.0
4/19/21,6630.0
4/20/21,9060.0
4/21/21,12287.0
4/22/21,16357.0
4/23/21,14400.0
4/24/21,12841.0
4/25/21,8058.0
4/26/21,5184.0
4/27/21,8037.0
4/28/21,9709.0
4/29/21,11750.0
4/30/21,10190.0
5/1/21,8672.0
5/2/21,5217.0
5/3/21,2879.0
5/4/21,2589.0
5/5/21,2694.0
5/6/21,6159.0
5/7/21,8529.0
5/8/21,8841.0
5/9/21,5501.0
5/10/21,2944.0
5/11/21,2334.0
5/12/21,4659.0
5/13/21,6934.0
5/14/21,7686.0
5/15/21,6919.0
5/16/21,3748.0
5/17/21,2260.0
5/18/21,4221.0
5/19/21,5259.0
5/20/21,5285.0
5/21/21,5110.0
5/22/21,4730.0
5/23/21,2657.0
5/24/21,1457.0
5/25/21,2730.0
5/26/21,3521.0
5/27/21,3637.0
5/28/21,3432.0
5/29/21,3230.0
5/30/21,1839.0
5/31/21,1156.0
6/1/21,2268.0
6/2/21,2335.0
6/3/21,2707.0
6/4/21,2393.0
6/5/21,2031.0
6/6/21,1075.0
6/7/21,667.0
6/8/21,1736.0
6/9/21,1521.0
6/10/21,1924.0
6/11/21,1747.0
6/12/21,1424.0
6/13/21,1019.0
6/14/21,591.0
6/15/21,1197.0
6/16/21,1233.0
6/17/21,1388.0
6/18/21,1178.0
6/19/21,1079.0
6/20/21,723.0
6/21/21,587.0
6/22/21,573.0
6/23/21,1126.0
6/24/21,1248.0
6/25/21,1204.0
6/26/21,1109.0
6/27/21,819.0
6/28/21,677.0
6/29/21,581.0
6/30/21,1042.0
7/1/21,1120.0
7/2/21,1123.0
7/3/21,1141.0
7/4/21,826.0
7/5/21,702.0
7/6/21,993.0
7/7/21,1062.0
7/8/21,1074.0
7/9/21,1122.0
7/10/21,982.0
7/11/21,779.0
7/12/21,665.0
7/13/21,972.0
7/14/21,1043.0
7/15/21,1123.0
7/16/21,1253.0
7/17/21,1117.0
7/18/21,837.0
7/19/21,717.0
7/20/21,1134.0
7/21/21,1195.0
7/22/21,1259.0
7/23/21,1298.0
7/24/21,1297.0
7/25/21,841.0
7/26/21,774.0
7/27/21,1227.0
7/28/21,1267.0
7/29/21,1396.0
7/30/21,1510.0
7/31/21,1459.0
8/1/21,1024.0
8/2/21,804.0
8/3/21,1366.0
8/4/21,1520.0
8/5/21,1608.0
8/6/21,1668.0
8/7/21,1647.0
8/8/21,1214.0
8/9/21,906.0
8/10/21,1394.0
8/11/21,1735.0
8/12/21,1868.0
8/13/21,1879.0
8/14/21,1966.0
8/15/21,1309.0
8/16/21,1028.0
8/17/21,1499.0
8/18/21,2049.0
8/19/21,2159.0
8/20/21,2190.0
8/21/21,2318.0
8/22/21,1590.0
8/23/21,1189.0
8/24/21,1265.0
8/25/21,1291.0
8/26/21,2117.0
8/27/21,2559.0
8/28/21,2588.0
8/29/21,2394.0
8/30/21,1216.0
8/31/21,1795.0
9/1/21,2488.0
9/2/21,2871.0
9/3/21,3079.0
9/4/21,2614.0
9/5/21,2142.0
9/6/21,1142.0
9/7/21,2562.0
9/8/21,3123.0
9/9/21,4010.0
9/10/21,3948.0
9/11/21,4196.0
9/12/21,2515.0
9/13/21,1522.0
9/14/21,3640.0
9/15/21,4938.0
9/16/21,6050.0
9/17/21,6940.0
9/18/21,6564.0
9/19/21,4332.0
9/20/21,2633.0
9/21/21,5542.0
9/22/21,7152.0
9/23/21,8281.0
9/24/21,9495.0
9/25/21,8725.0
9/26/21,5130.0
9/27/21,3512.0
9/28/21,7071.0
9/29/21,10205.0
9/30/21,12315.0
10/1/21,12603.0
10/2/21,12396.0
10/3/21,8575.0
10/4/21,5452.0
10/5/21,10491.0
10/6/21,13316.0
10/7/21,15794.0
10/8/21,17047.0
10/9/21,16622.0
10/10/21,12102.0
10/11/21,9605.0
10/12/21,12772.0
10/13/21,17100.0
10/14/21,19691.0
10/15/21,14458.0
10/16/21,13840.0
10/17/21,12163.0
10/18/21,10415.0
10/19/21,16484.0
10/20/21,19823.0
10/21/21,23338.0
10/22/21,24721.0
10/23/21,24179.0
10/24/21,21761.0
10/25/21,15617.0
10/26/21,20112.0
10/27/21,23581.0
10/28/21,27097.0
10/29/21,27914.0
10/30/21,27246.0
10/31/21,18492.0
11/1/21,15017.0
11/2/21,20536.0
11/3/21,24479.0
11/4/21,28477.0
11/5/21,27606.0
11/6/21,26188.0
11/7/21,18556.0
11/8/21,14211.0
11/9/21,20149.0
11/10/21,24445.0
11/11/21,25922.0
11/12/21,25240.0
11/13/21,24760.0
11/14/21,15693.0
11/15/21,12012.0
11/16/21,17514.0
11/17/21,19879.0
11/18/21,21810.0
11/19/21,21271.0
11/20/21,19474.0
11/21/21,11856.0
11/22/21,8612.0
11/23/21,13826.0
11/24/21,15328.0
11/25/21,17873.0
11/26/21,16802.0
11/27/21,15027.0
11/28/21,8245.0
11/29/21,6494.0
11/30/21,11212.0
12/1/21,12601.0
12/2/21,14163.0
12/3/21,14391.0
12/4/21,13806.0
12/5/21,7211.0
12/6/21,5045.0
12/7/21,9205.0
12/8/21,9895.0
12/9/21,12884.0
12/10/21,11817.0
12/11/21,10606.0
12/12/21,5721.0
12/13/21,4423.0
12/14/21,7716.0
12/15/21,8461.0
12/16/21,9918.0
12/17/21,9215.0
12/18/21,7806.0
12/19/21,3889.0
12/20/21,2814.0
12/21/21,6281.0
12/22/21,6589.0
12/23/21,7533.0
12/24/21,6828.0
12/25/21,5451.0
12/26/21,2988.0
12/27/21,2038.0
12/28/21,2419.0
12/29/21,5616.0
12/30/21,6089.0
12/31/21,7185.0
1/1/22,5171.0
1/2/22,2008.0
1/3/22,1954.0
1/4/22,1889.0
1/5/22,4711.0
1/6/22,6769.0
1/7/22,7304.0
1/8/22,3339.0
1/9/22,2945.0
1/10/22,2100.0
1/11/22,5558.0
1/12/22,7266.0
1/13/22,10229.0
1/14/22,10682.0
1/15/22,10799.0
1/16/22,6632.0
1/17/22,5341.0
1/18/22,8851.0
1/19/22,13143.0
1/20/22,18821.0
1/21/22,20542.0
1/22/22,22918.0
1/23/22,15954.0
1/24/22,13491.0
1/25/22,19708.0
1/26/22,24941.0
1/27/22,33104.0
1/28/22,35164.0
1/29/22,38171.0
1/30/22,25412.0
1/31/22,23063.0
2/1/22,31911.0
2/2/22,35892.0
2/3/22,40745.0
2/4/22,45022.0
2/5/22,43836.0
2/6/22,29306.0
2/7/22,24751.0
2/8/22,35899.0
2/9/22,39569.0
2/10/22,43477.0
2/11/22,42967.0
2/12/22,40023.0
2/13/22,26654.0
2/14/22,18664.0
2/15/22,31216.0
2/16/22,32974.0
2/17/22,35227.0
2/18/22,36993.0
2/19/22,33348.0
2/20/22,19748.0
2/21/22,16033.0
2/22/22,26700.0
2/23/22,26819.0
2/24/22,27538.0
2/25/22,0.0
2/26/22,0.0
2/27/22,0.0
2/28/22,0.0
