,Vietnam
1/22/20,0.0
1/23/20,2.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,4.0
2/2/20,0.0
2/3/20,2.0
2/4/20,0.0
2/5/20,0.0
2/6/20,2.0
2/7/20,0.0
2/8/20,3.0
2/9/20,0.0
2/10/20,1.0
2/11/20,1.0
2/12/20,0.0
2/13/20,1.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,2.0
3/8/20,12.0
3/9/20,0.0
3/10/20,1.0
3/11/20,7.0
3/12/20,1.0
3/13/20,8.0
3/14/20,6.0
3/15/20,3.0
3/16/20,5.0
3/17/20,5.0
3/18/20,9.0
3/19/20,10.0
3/20/20,6.0
3/21/20,3.0
3/22/20,19.0
3/23/20,10.0
3/24/20,11.0
3/25/20,7.0
3/26/20,12.0
3/27/20,10.0
3/28/20,11.0
3/29/20,14.0
3/30/20,15.0
3/31/20,9.0
4/1/20,6.0
4/2/20,15.0
4/3/20,4.0
4/4/20,3.0
4/5/20,1.0
4/6/20,4.0
4/7/20,4.0
4/8/20,2.0
4/9/20,4.0
4/10/20,2.0
4/11/20,1.0
4/12/20,4.0
4/13/20,3.0
4/14/20,1.0
4/15/20,1.0
4/16/20,1.0
4/17/20,0.0
4/18/20,0.0
4/19/20,0.0
4/20/20,0.0
4/21/20,0.0
4/22/20,0.0
4/23/20,0.0
4/24/20,2.0
4/25/20,0.0
4/26/20,0.0
4/27/20,0.0
4/28/20,0.0
4/29/20,0.0
4/30/20,0.0
5/1/20,0.0
5/2/20,0.0
5/3/20,1.0
5/4/20,0.0
5/5/20,0.0
5/6/20,0.0
5/7/20,17.0
5/8/20,0.0
5/9/20,0.0
5/10/20,0.0
5/11/20,0.0
5/12/20,0.0
5/13/20,0.0
5/14/20,24.0
5/15/20,2.0
5/16/20,4.0
5/17/20,2.0
5/18/20,4.0
5/19/20,0.0
5/20/20,0.0
5/21/20,0.0
5/22/20,0.0
5/23/20,1.0
5/24/20,0.0
5/25/20,1.0
5/26/20,1.0
5/27/20,0.0
5/28/20,0.0
5/29/20,1.0
5/30/20,0.0
5/31/20,0.0
6/1/20,0.0
6/2/20,0.0
6/3/20,0.0
6/4/20,0.0
6/5/20,0.0
6/6/20,1.0
6/7/20,2.0
6/8/20,1.0
6/9/20,0.0
6/10/20,0.0
6/11/20,0.0
6/12/20,1.0
6/13/20,1.0
6/14/20,0.0
6/15/20,0.0
6/16/20,0.0
6/17/20,1.0
6/18/20,7.0
6/19/20,7.0
6/20/20,0.0
6/21/20,0.0
6/22/20,0.0
6/23/20,0.0
6/24/20,3.0
6/25/20,0.0
6/26/20,1.0
6/27/20,2.0
6/28/20,0.0
6/29/20,0.0
6/30/20,0.0
7/1/20,0.0
7/2/20,0.0
7/3/20,0.0
7/4/20,0.0
7/5/20,0.0
7/6/20,14.0
7/7/20,0.0
7/8/20,0.0
7/9/20,0.0
7/10/20,1.0
7/11/20,0.0
7/12/20,2.0
7/13/20,1.0
7/14/20,0.0
7/15/20,8.0
7/16/20,0.0
7/17/20,1.0
7/18/20,0.0
7/19/20,1.0
7/20/20,1.0
7/21/20,17.0
7/22/20,7.0
7/23/20,4.0
7/24/20,3.0
7/25/20,2.0
7/26/20,3.0
7/27/20,11.0
7/28/20,15.0
7/29/20,13.0
7/30/20,50.0
7/31/20,49.0
8/1/20,32.0
8/2/20,31.0
8/3/20,31.0
8/4/20,20.0
8/5/20,45.0
8/6/20,33.0
8/7/20,39.0
8/8/20,23.0
8/9/20,29.0
8/10/20,6.0
8/11/20,19.0
8/12/20,17.0
8/13/20,28.0
8/14/20,19.0
8/15/20,21.0
8/16/20,13.0
8/17/20,19.0
8/18/20,6.0
8/19/20,5.0
8/20/20,13.0
8/21/20,2.0
8/22/20,5.0
8/23/20,2.0
8/24/20,6.0
8/25/20,7.0
8/26/20,5.0
8/27/20,2.0
8/28/20,2.0
8/29/20,2.0
8/30/20,0.0
8/31/20,4.0
9/1/20,0.0
9/2/20,2.0
9/3/20,0.0
9/4/20,3.0
9/5/20,0.0
9/6/20,0.0
9/7/20,0.0
9/8/20,5.0
9/9/20,5.0
9/10/20,0.0
9/11/20,1.0
9/12/20,0.0
9/13/20,3.0
9/14/20,0.0
9/15/20,0.0
9/16/20,0.0
9/17/20,3.0
9/18/20,2.0
9/19/20,0.0
9/20/20,0.0
9/21/20,0.0
9/22/20,0.0
9/23/20,1.0
9/24/20,0.0
9/25/20,0.0
9/26/20,0.0
9/27/20,5.0
9/28/20,3.0
9/29/20,17.0
9/30/20,0.0
10/1/20,1.0
10/2/20,1.0
10/3/20,0.0
10/4/20,0.0
10/5/20,1.0
10/6/20,1.0
10/7/20,1.0
10/8/20,1.0
10/9/20,5.0
10/10/20,2.0
10/11/20,2.0
10/12/20,1.0
10/13/20,3.0
10/14/20,9.0
10/15/20,2.0
10/16/20,0.0
10/17/20,2.0
10/18/20,8.0
10/19/20,6.0
10/20/20,1.0
10/21/20,3.0
10/22/20,4.0
10/23/20,0.0
10/24/20,12.0
10/25/20,8.0
10/26/20,1.0
10/27/20,3.0
10/28/20,1.0
10/29/20,4.0
10/30/20,0.0
10/31/20,3.0
11/1/20,0.0
11/2/20,12.0
11/3/20,10.0
11/4/20,1.0
11/5/20,4.0
11/6/20,5.0
11/7/20,1.0
11/8/20,0.0
11/9/20,2.0
11/10/20,11.0
11/11/20,26.0
11/12/20,1.0
11/13/20,3.0
11/14/20,9.0
11/15/20,16.0
11/16/20,2.0
11/17/20,5.0
11/18/20,12.0
11/19/20,4.0
11/20/20,1.0
11/21/20,1.0
11/22/20,1.0
11/23/20,5.0
11/24/20,4.0
11/25/20,5.0
11/26/20,10.0
11/27/20,8.0
11/28/20,2.0
11/29/20,2.0
11/30/20,4.0
12/1/20,4.0
12/2/20,7.0
12/3/20,3.0
12/4/20,0.0
12/5/20,4.0
12/6/20,1.0
12/7/20,1.0
12/8/20,10.0
12/9/20,4.0
12/10/20,4.0
12/11/20,6.0
12/12/20,4.0
12/13/20,2.0
12/14/20,5.0
12/15/20,3.0
12/16/20,0.0
12/17/20,2.0
12/18/20,3.0
12/19/20,1.0
12/20/20,2.0
12/21/20,1.0
12/22/20,6.0
12/23/20,1.0
12/24/20,11.0
12/25/20,7.0
12/26/20,1.0
12/27/20,1.0
12/28/20,10.0
12/29/20,3.0
12/30/20,2.0
12/31/20,9.0
1/1/21,9.0
1/2/21,8.0
1/3/21,12.0
1/4/21,3.0
1/5/21,7.0
1/6/21,1.0
1/7/21,4.0
1/8/21,3.0
1/9/21,1.0
1/10/21,1.0
1/11/21,1.0
1/12/21,5.0
1/13/21,1.0
1/14/21,10.0
1/15/21,5.0
1/16/21,1.0
1/17/21,0.0
1/18/21,2.0
1/19/21,1.0
1/20/21,4.0
1/21/21,2.0
1/22/21,2.0
1/23/21,0.0
1/24/21,0.0
1/25/21,1.0
1/26/21,2.0
1/27/21,2.0
1/28/21,98.0
1/29/21,6.0
1/30/21,110.0
1/31/21,50.0
2/1/21,33.0
2/2/21,32.0
2/3/21,66.0
2/4/21,9.0
2/5/21,19.0
2/6/21,9.0
2/7/21,16.0
2/8/21,49.0
2/9/21,14.0
2/10/21,27.0
2/11/21,49.0
2/12/21,2.0
2/13/21,53.0
2/14/21,33.0
2/15/21,41.0
2/16/21,42.0
2/17/21,18.0
2/18/21,18.0
2/19/21,15.0
2/20/21,6.0
2/21/21,15.0
2/22/21,9.0
2/23/21,11.0
2/24/21,9.0
2/25/21,9.0
2/26/21,5.0
2/27/21,6.0
2/28/21,16.0
3/1/21,0.0
3/2/21,27.0
3/3/21,7.0
3/4/21,6.0
3/5/21,6.0
3/6/21,7.0
3/7/21,11.0
3/8/21,12.0
3/9/21,2.0
3/10/21,3.0
3/11/21,4.0
3/12/21,17.0
3/13/21,3.0
3/14/21,1.0
3/15/21,3.0
3/16/21,3.0
3/17/21,7.0
3/18/21,3.0
3/19/21,1.0
3/20/21,1.0
3/21/21,0.0
3/22/21,3.0
3/23/21,0.0
3/24/21,1.0
3/25/21,3.0
3/26/21,7.0
3/27/21,0.0
3/28/21,5.0
3/29/21,3.0
3/30/21,0.0
3/31/21,9.0
4/1/21,14.0
4/2/21,3.0
4/3/21,6.0
4/4/21,5.0
4/5/21,6.0
4/6/21,11.0
4/7/21,11.0
4/8/21,9.0
4/9/21,15.0
4/10/21,9.0
4/11/21,1.0
4/12/21,12.0
4/13/21,9.0
4/14/21,19.0
4/15/21,25.0
4/16/21,14.0
4/17/21,9.0
4/18/21,4.0
4/19/21,6.0
4/20/21,9.0
4/21/21,12.0
4/22/21,12.0
4/23/21,6.0
4/24/21,3.0
4/25/21,10.0
4/26/21,9.0
4/27/21,5.0
4/28/21,8.0
4/29/21,45.0
4/30/21,18.0
5/1/21,14.0
5/2/21,20.0
5/3/21,23.0
5/4/21,10.0
5/5/21,35.0
5/6/21,60.0
5/7/21,47.0
5/8/21,108.0
5/9/21,167.0
5/10/21,77.0
5/11/21,82.0
5/12/21,87.0
5/13/21,82.0
5/14/21,76.0
5/15/21,296.0
5/16/21,100.0
5/17/21,147.0
5/18/21,153.0
5/19/21,208.0
5/20/21,89.0
5/21/21,132.0
5/22/21,178.0
5/23/21,156.0
5/24/21,129.0
5/25/21,527.0
5/26/21,155.0
5/27/21,270.0
5/28/21,40.0
5/29/21,512.0
5/30/21,199.0
5/31/21,325.0
6/1/21,193.0
6/2/21,245.0
6/3/21,193.0
6/4/21,301.0
6/5/21,216.0
6/6/21,211.0
6/7/21,236.0
6/8/21,195.0
6/9/21,413.0
6/10/21,200.0
6/11/21,213.0
6/12/21,289.0
6/13/21,293.0
6/14/21,251.0
6/15/21,423.0
6/16/21,490.0
6/17/21,356.0
6/18/21,358.0
6/19/21,470.0
6/20/21,280.0
6/21/21,272.0
6/22/21,252.0
6/23/21,207.0
6/24/21,334.0
6/25/21,214.0
6/26/21,788.0
6/27/21,415.0
6/28/21,396.0
6/29/21,371.0
6/30/21,545.0
7/1/21,675.0
7/2/21,394.0
7/3/21,1189.0
7/4/21,951.0
7/5/21,1051.0
7/6/21,1029.0
7/7/21,1044.0
7/8/21,1425.0
7/9/21,1798.0
7/10/21,1862.0
7/11/21,2008.0
7/12/21,2187.0
7/13/21,2744.0
7/14/21,2830.0
7/15/21,4049.0
7/16/21,4004.0
7/17/21,4710.0
7/18/21,4843.0
7/19/21,4335.0
7/20/21,5427.0
7/21/21,5537.0
7/22/21,7125.0
7/23/21,8688.0
7/24/21,7956.0
7/25/21,6260.0
7/26/21,5174.0
7/27/21,10774.0
7/28/21,6519.0
7/29/21,9765.0
7/30/21,7717.0
7/31/21,8938.0
8/1/21,7447.0
8/2/21,0.0
8/3/21,16954.0
8/4/21,7295.0
8/5/21,7310.0
8/6/21,4315.0
8/7/21,12275.0
8/8/21,9904.0
8/9/21,9334.0
8/10/21,8043.0
8/11/21,8606.0
8/12/21,5025.0
8/13/21,9180.0
8/14/21,9716.0
8/15/21,9580.0
8/16/21,8652.0
8/17/21,9605.0
8/18/21,8800.0
8/19/21,10510.0
8/20/21,10657.0
8/21/21,13439.0
8/22/21,11352.0
8/23/21,10397.0
8/24/21,10811.0
8/25/21,12096.0
8/26/21,11575.0
8/27/21,17428.0
8/28/21,12103.0
8/29/21,12796.0
8/30/21,14224.0
8/31/21,12607.0
9/1/21,11434.0
9/2/21,13197.0
9/3/21,14922.0
9/4/21,9521.0
9/5/21,13137.0
9/6/21,12481.0
9/7/21,14208.0
9/8/21,12680.0
9/9/21,12420.0
9/10/21,13321.0
9/11/21,11932.0
9/12/21,12026.0
9/13/21,11172.0
9/14/21,10508.0
9/15/21,10585.0
9/16/21,10489.0
9/17/21,11521.0
9/18/21,9373.0
9/19/21,10040.0
9/20/21,8681.0
9/21/21,11692.0
9/22/21,11527.0
9/23/21,9472.0
9/24/21,8537.0
9/25/21,9706.0
9/26/21,10011.0
9/27/21,9362.0
9/28/21,4589.0
9/29/21,8758.0
9/30/21,11357.0
10/1/21,6957.0
10/2/21,5490.0
10/3/21,5376.0
10/4/21,5383.0
10/5/21,4363.0
10/6/21,4363.0
10/7/21,4150.0
10/8/21,4806.0
10/9/21,4491.0
10/10/21,3528.0
10/11/21,3619.0
10/12/21,2949.0
10/13/21,3461.0
10/14/21,4151.0
10/15/21,3797.0
10/16/21,3221.0
10/17/21,3193.0
10/18/21,3168.0
10/19/21,3034.0
10/20/21,3646.0
10/21/21,3636.0
10/22/21,3985.0
10/23/21,3373.0
10/24/21,4045.0
10/25/21,3639.0
10/26/21,3595.0
10/27/21,4411.0
10/28/21,4892.0
10/29/21,4899.0
10/30/21,5227.0
10/31/21,5519.0
11/1/21,5598.0
11/2/21,5637.0
11/3/21,7106.0
11/4/21,6580.0
11/5/21,7504.0
11/6/21,7491.0
11/7/21,7646.0
11/8/21,7988.0
11/9/21,8133.0
11/10/21,7930.0
11/11/21,8162.0
11/12/21,8982.0
11/13/21,8467.0
11/14/21,8176.0
11/15/21,8616.0
11/16/21,10259.0
11/17/21,9849.0
11/18/21,10223.0
11/19/21,9625.0
11/20/21,9531.0
11/21/21,9889.0
11/22/21,10321.0
11/23/21,39132.0
11/24/21,11811.0
11/25/21,12450.0
11/26/21,13109.0
11/27/21,16067.0
11/28/21,12936.0
11/29/21,13770.0
11/30/21,13972.0
12/1/21,14508.0
12/2/21,13698.0
12/3/21,14492.0
12/4/21,13998.0
12/5/21,14314.0
12/6/21,14591.0
12/7/21,13840.0
12/8/21,14599.0
12/9/21,15311.0
12/10/21,14839.0
12/11/21,16141.0
12/12/21,14638.0
12/13/21,15377.0
12/14/21,15220.0
12/15/21,15527.0
12/16/21,34062.0
12/17/21,15236.0
12/18/21,15895.0
12/19/21,16110.0
12/20/21,14977.0
12/21/21,16325.0
12/22/21,16555.0
12/23/21,16377.0
12/24/21,16157.0
12/25/21,15586.0
12/26/21,15218.0
12/27/21,14872.0
12/28/21,14440.0
12/29/21,13889.0
12/30/21,19868.0
12/31/21,16515.0
1/1/22,14835.0
1/2/22,16948.0
1/3/22,15936.0
1/4/22,21728.0
1/5/22,17017.0
1/6/22,25842.0
1/7/22,16278.0
1/8/22,16553.0
1/9/22,23181.0
1/10/22,14818.0
1/11/22,16035.0
1/12/22,28291.0
1/13/22,16725.0
1/14/22,16040.0
1/15/22,16378.0
1/16/22,15684.0
1/17/22,0.0
1/18/22,38582.0
1/19/22,15959.0
1/20/22,16715.0
1/21/22,15935.0
1/22/22,15707.0
1/23/22,14978.0
1/24/22,14362.0
1/25/22,15743.0
1/26/22,15954.0
1/27/22,15727.0
1/28/22,14929.0
1/29/22,15150.0
1/30/22,29766.0
1/31/22,12674.0
2/1/22,11023.0
2/2/22,8744.0
2/3/22,8601.0
2/4/22,11594.0
2/5/22,12170.0
2/6/22,14112.0
2/7/22,16815.0
2/8/22,21909.0
2/9/22,23956.0
2/10/22,26032.0
2/11/22,26487.0
2/12/22,27311.0
2/13/22,26379.0
2/14/22,29413.0
2/15/22,31814.0
2/16/22,34737.0
2/17/22,36200.0
2/18/22,42439.0
2/19/22,54830.0
2/20/22,47200.0
2/21/22,46880.0
2/22/22,56149.0
2/23/22,81856.0
2/24/22,69128.0
2/25/22,78795.0
2/26/22,98876.0
2/27/22,101828.0
2/28/22,122480.0
